"Source Schema ID *","Source DB Name/Incoming File Path *","Source Schema Name (if applicable) (auto populate)","Source Table/File Name * (auto populate)","Source Column Name * (auto populate)","Source Data Type * (auto populate)","Target Schema ID *","Target DB Name/Outgoing File Path * (auto populate)","Target Schema Name (if applicable) (auto populate)","Target Table/File Name * (auto populate)","Target Column/Field Name * (auto populate)","Target Data Type * (auto populate)","Business Rule (auto populate)","Join Clause (auto populate)","Transformation Rule/Logic (auto populate)"
"","","","","","","T_tantrum_0008","AAW","AAW{CZ,DW}/da-cprd/aaw/stage/mbs_gls","tantrum","issuer_org_id","bigint","","","Set to 0"
"","","","","","","T_tantrum_0009","AAW","AAW{CZ,DW}/da-cprd/aaw/stage/mbs_gls","tantrum","secrty_view_CD","bigint","","","Set to +01342 (DB)."
"T_ossbr_2_1_0006","RZ_MBS","MCB{RZ,FS}/mcb@edrz.dfs.core.windows.net/MCB/ossbr_2_1/current","ossbr_2_1","curr_type_CD","STRING","T_tantrum_0010","AAW","AAW{CZ,DW}/da-cprd/aaw/stage/mbs_gls","tantrum","curncy_CD","bigint","","","CASE WHEN mas.SRCURRCODE IN ('BEF', 'DEM', 'FRF', 'GRD', 'TEP', 'ITL','NLG','PTE') THEN '+00618' ELSE CASE WHEN mas.secrty_curncy_id IN (-3,-4) THEN '+00616' ELSE COALESCE(get_stndrd_id('EDW','EDW_CURNCY_CD', 'N', mas.secrty_curncy_id), '+00616') END END AS CURNCY_CD FROM ossbr_2_1 mas"
"T_ossbr_2_1_0007","RZ_MBS","MCB{RZ,FS}/mcb@edrz.dfs.core.windows.net/MCB/ossbr_2_1/current","ossbr_2_1","foreigndate","STRING","T_tantrum_0011","AAW","AAW{CZ,DW}/da-cprd/aaw/stage/mbs_gls","tantrum","first_offer_dt","date","","","CASE WHEN TRY_CAST(mas.SBDSBDATE AS DATE) IS NOT NULL AND mas.SBDSBDATE <> '0001-01-01' THEN mas.SBDSBDATE ELSE NULL END AS FIRST_OFFER_DT FROM ossbr_2_1 mas"
"","","","","","","T_tantrum_0012","AAW","AAW{CZ,DW}/da-cprd/aaw/stage/mbs_gls","tantrum","final_offer_dt","date","","","Set to NULL"
"","","","","","","T_tantrum_0013","AAW","AAW{CZ,DW}/da-cprd/aaw/stage/mbs_gls","tantrum","lifecy_CD","bigint","","","Set to +00114 (Active)."
"","","","","","","T_tantrum_0014","AAW","AAW{CZ,DW}/da-cprd/aaw/stage/mbs_gls","tantrum","source_appl_CD","bigint","","","Set to +00239 (GLS)"
"","","","","","","T_tantrum_0015","AAW","AAW{CZ,DW}/da-cprd/aaw/stage/mbs_gls","tantrum","asset_liblty_CD","bigint","","","Set to +00331 (Asset)."
"","","","","","","T_tantrum_0016","AAW","AAW{CZ,DW}/da-cprd/aaw/stage/mbs_gls","tantrum","varble_rate_id","bigint","","","Set to 0"
"T_ossbr_2_1_0008","RZ_MBS","MCB{RZ,FS}/mcb@edrz.dfs.core.windows.net/MCB/ossbr_2_1/current","ossbr_2_1","SRPFREQ","STRING","T_tantrum_0017","AAW","AAW{CZ,DW}/da-cprd/aaw/stage/mbs_gls","tantrum","int_freq_CD","bigint","","","CASE -- Check if tantrum_FAMLY_CD is +01309 (MMK) or +01310 (FIX) 
 WHEN tantrum.INSTR_FAMILY_CD IN ('+01309', '+01310') THEN COALESCE(get_stndrd_id('EDW', 'EDW_INT_FREQ_CD', 'N', mas.SRPREQ),'-00001') -- Default to Not Applicable if no standard mapping is found 
 ELSE '-00001' -- Not Applicable 
 END AS INT_FREQ_CD FROM ossbr_2_1 mas LEFT JOIN tantrum ON mas.SRSECCODE = tantrum.SRSECCODE"
"T_tantrum_0004","AAW","AAW{CZ,DW}/da-cprd/aaw/stage/mbs_gls","tantrum","tantrum_family_CD","bigint","T_tantrum_0017","AAW","AAW{CZ,DW}/da-cprd/aaw/stage/mbs_gls","tantrum","int_freq_CD","bigint","","","CASE -- Check if tantrum_FAMLY_CD is +01309 (MMK) or +01310 (FIX) 
 WHEN tantrum.INSTR_FAMILY_CD IN ('+01309', '+01310') THEN COALESCE(get_stndrd_id('EDW', 'EDW_INT_FREQ_CD', 'N', mas.SRPREQ),'-00001') -- Default to Not Applicable if no standard mapping is found 
 ELSE '-00001' -- Not Applicable 
 END AS INT_FREQ_CD FROM ossbr_2_1 mas LEFT JOIN tantrum ON mas.SRSECCODE = tantrum.SRSECCODE"
"T_ossbr_2_1_0009","RZ_MBS","MCB{RZ,FS}/mcb@edrz.dfs.core.windows.net/MCB/ossbr_2_1/current","ossbr_2_1","maturitydate","STRING","T_tantrum_0018","AAW","AAW{CZ,DW}/da-cprd/aaw/stage/mbs_gls","tantrum","int_freq_CD","bigint","","","CASE -- Check if tantrum_FAMLY_CD is +01309 (MMK) or +01310 (FIX) 
 WHEN tantrum.INSTR_FAMILY_CD IN ('+01309', '+01310') THEN COALESCE(get_stndrd_id('EDW', 'EDW_INT_FREQ_CD', 'N', mas.SRPREQ),'-00001') -- Default to Not Applicable if no standard mapping is found 
 ELSE '-00001' -- Not Applicable 
 END AS INT_FREQ_CD FROM ossbr_2_1 mas LEFT JOIN tantrum ON mas.SRSECCODE = tantrum.SRSECCODE"
"T_ossbr_2_1_0010","RZ_MBS","MCB{RZ,FS}/mcb@edrz.dfs.core.windows.net/MCB/ossbr_2_1/current","ossbr_2_1","interestrate","STRING","T_tantrum_0019","AAW","AAW{CZ,DW}/da-cprd/aaw/stage/mbs_gls","tantrum","int_rt","decimal","","","CASE WHEN TRY_CAST(mas.SRPMTRATE AS FLOAT) IS NOT NULL AND mas.SRPMTRATE > 0 AND mas.SRPMTRATE <= 999.99999 THEN mas.SRPMTRATE ELSE NULL END AS INT_RT FROM ossbr_2_1 mas"
"","","","","","","T_tantrum_0020","AAW","AAW{CZ,DW}/da-cprd/aaw/stage/mbs_gls","tantrum","int_rate_id","bigint","","","Set to 0"
"T_ossbr_2_1_0004","RZ_MBS","MCB{RZ,FS}/mcb@edrz.dfs.core.windows.net/MCB/ossbr_2_1/current","ossbr_2_1","srctype","STRING","T_tantrum_0021","AAW","AAW{CZ,DW}/da-cprd/aaw/stage/mbs_gls","tantrum","erlcsh_eligbl_in","string","","","CASE WHEN mas.SRSECTYPE = '210' THEN 'N' ELSE 'Y' END AS ERLCSH_ELIGBL_IN FROM ossbr_2_1 mas"
"","","","","","","T_tantrum_0022","AAW","AAW{CZ,DW}/da-cprd/aaw/stage/mbs_gls","tantrum","compnd_int_CD","bigint","","","Set to -2 (No Source)."
"","","","","","","T_tantrum_0023","AAW","AAW{CZ,DW}/da-cprd/aaw/stage/mbs_gls","tantrum","int_relatn_CD","bigint","","","Set to -2 (No Source)."
"T_GLSXREF_0002","0","0","GLSXREF","WASTE_SECURITY_CD","STRING","T_tantrum_0024","AAW","AAW{CZ,DW}/da-cprd/aaw/stage/mbs_gls","tantrum","mu_fund_id","string","","","CASE WHEN ref.sm_SECURITY_CODE IS NOT NULL THEN ref.SEND_CD ELSE '00000000' END AS mu_fund_ID FROM ossbr_2_1 mas LEFT JOIN GLSXREF ref ON mas.SRSECCODE = ref.sm_SECURITY_CODE"
"T_GLSXREF_0003","0","0","GLSXREF","SEND_CD","STRING","T_tantrum_0024","AAW","AAW{CZ,DW}/da-cprd/aaw/stage/mbs_gls","tantrum","mu_fund_id","string","","","CASE WHEN ref.sm_SECURITY_CODE IS NOT NULL THEN ref.SEND_CD ELSE '00000000' END AS mu_fund_ID FROM ossbr_2_1 mas LEFT JOIN GLSXREF ref ON mas.SRSECCODE = ref.sm_SECURITY_CODE"
"T_GLSXREF_0002","0","0","GLSXREF","WASTE_SECURITY_CD","STRING","T_tantrum_0025","AAW","AAW{CZ,DW}/da-cprd/aaw/stage/mbs_gls","tantrum","mu_fund_family_CD","bigint","","","CASE WHEN ref.sm_SECURITY_CODE IS NOT NULL AND LEFT(ref.SEND_CD, 3) = 'SBB' THEN CASE WHEN MFIN.MFIN_SEND_NUMBER IS NOT NULL THEN CASE WHEN MFIN.MFIN_ASSET_ORDER = 1 THEN '+08830' -- MMK /n WHEN MFIN.MFIN_ASSET_ORDER = 2 THEN '+08831' -- PMMK /n WHEN MFIN.MFIN_ASSET_ORDER = 3 THEN '+08832' -- ING /n WHEN MFIN.MFIN_ASSET_ORDER = 4 THEN '+08833' -- BAL /n WHEN MFIN.MFIN_ASSET_ORDER = 5 THEN '+08834' -- INX /n WHEN MFIN.MFIN_ASSET_ORDER = 6 THEN '+08835' -- CDNEQ /n WHEN MFIN.MFIN_ASSET_ORDER = 7 THEN '+08836' -- USEQ /n WHEN MFIN.MFIN_ASSET_ORDER = 8 THEN '+08837' -- SEC /n WHEN MFIN.MFIN_ASSET_ORDER = 9 THEN '+08838' -- GLO /n WHEN MFIN.MFIN_ASSET_ORDER = 10 THEN '+08839' -- MAPM /n WHEN MFIN.MFIN_ASSET_ORDER = 11 THEN '+08840' -- MAP /n WHEN MFIN.MFIN_ASSET_ORDER = 12 THEN '+08841' -- MAP /n WHEN MFIN.MFIN_ASSET_ORDER = 13 THEN '+08842' -- GIC /n WHEN MFIN.MFIN_ASSET_ORDER = 14 THEN '+12553' -- COMFORT /n WHEN MFIN.MFIN_ASSET_ORDER = 15 THEN '+12554' -- ADVANTAGE /n WHEN MFIN.MFIN_ASSET_ORDER = 16 THEN '+12559' -- CORPORATE /n ELSE '-00004' -- Invalid /n END ELSE '-00001' -- Not Applicable /n END ELSE '-00001' -- Not Applicable /n END AS mu_fund_FAMILY_CD FROM ossbr_2_1 mas LEFT JOIN GLSXREF ref ON mas.SRSECCODE = ref.sm_SECURITY_CODE LEFT JOIN MFIN edx ON SUBSTRING (ref.SEND_CD, 4, 5) = MFIN.MFIN_SEND_NUMBER"
"T_GLSXREF_0003","0","0","GLSXREF","SEND_CD","STRING","T_tantrum_0025","AAW","AAW{CZ,DW}/da-cprd/aaw/stage/mbs_gls","tantrum","mu_fund_family_CD","bigint","","","CASE WHEN ref.sm_SECURITY_CODE IS NOT NULL AND LEFT(ref.SEND_CD, 3) = 'SBB' THEN CASE WHEN MFIN.MFIN_SEND_NUMBER IS NOT NULL THEN CASE WHEN MFIN.MFIN_ASSET_ORDER = 1 THEN '+08830' -- MMK /n WHEN MFIN.MFIN_ASSET_ORDER = 2 THEN '+08831' -- PMMK /n WHEN MFIN.MFIN_ASSET_ORDER = 3 THEN '+08832' -- ING /n WHEN MFIN.MFIN_ASSET_ORDER = 4 THEN '+08833' -- BAL /n WHEN MFIN.MFIN_ASSET_ORDER = 5 THEN '+08834' -- INX /n WHEN MFIN.MFIN_ASSET_ORDER = 6 THEN '+08835' -- CDNEQ /n WHEN MFIN.MFIN_ASSET_ORDER = 7 THEN '+08836' -- USEQ /n WHEN MFIN.MFIN_ASSET_ORDER = 8 THEN '+08837' -- SEC /n WHEN MFIN.MFIN_ASSET_ORDER = 9 THEN '+08838' -- GLO /n WHEN MFIN.MFIN_ASSET_ORDER = 10 THEN '+08839' -- MAPM /n WHEN MFIN.MFIN_ASSET_ORDER = 11 THEN '+08840' -- MAP /n WHEN MFIN.MFIN_ASSET_ORDER = 12 THEN '+08841' -- MAP /n WHEN MFIN.MFIN_ASSET_ORDER = 13 THEN '+08842' -- GIC /n WHEN MFIN.MFIN_ASSET_ORDER = 14 THEN '+12553' -- COMFORT /n WHEN MFIN.MFIN_ASSET_ORDER = 15 THEN '+12554' -- ADVANTAGE /n WHEN MFIN.MFIN_ASSET_ORDER = 16 THEN '+12559' -- CORPORATE /n ELSE '-00004' -- Invalid /n END ELSE '-00001' -- Not Applicable /n END ELSE '-00001' -- Not Applicable /n END AS mu_fund_FAMILY_CD FROM ossbr_2_1 mas LEFT JOIN GLSXREF ref ON mas.SRSECCODE = ref.sm_SECURITY_CODE LEFT JOIN MFIN edx ON SUBSTRING (ref.SEND_CD, 4, 5) = MFIN.MFIN_SEND_NUMBER"
"T_MFIN_0002","0","0","MFIN","MFIN_SEND_NUMBER","INT64","T_tantrum_0025","AAW","AAW{CZ,DW}/da-cprd/aaw/stage/mbs_gls","tantrum","mu_fund_family_CD","bigint","","","CASE WHEN ref.sm_SECURITY_CODE IS NOT NULL AND LEFT(ref.SEND_CD, 3) = 'SBB' THEN CASE WHEN MFIN.MFIN_SEND_NUMBER IS NOT NULL THEN CASE WHEN MFIN.MFIN_ASSET_ORDER = 1 THEN '+08830' -- MMK /n WHEN MFIN.MFIN_ASSET_ORDER = 2 THEN '+08831' -- PMMK /n WHEN MFIN.MFIN_ASSET_ORDER = 3 THEN '+08832' -- ING /n WHEN MFIN.MFIN_ASSET_ORDER = 4 THEN '+08833' -- BAL /n WHEN MFIN.MFIN_ASSET_ORDER = 5 THEN '+08834' -- INX /n WHEN MFIN.MFIN_ASSET_ORDER = 6 THEN '+08835' -- CDNEQ /n WHEN MFIN.MFIN_ASSET_ORDER = 7 THEN '+08836' -- USEQ /n WHEN MFIN.MFIN_ASSET_ORDER = 8 THEN '+08837' -- SEC /n WHEN MFIN.MFIN_ASSET_ORDER = 9 THEN '+08838' -- GLO /n WHEN MFIN.MFIN_ASSET_ORDER = 10 THEN '+08839' -- MAPM /n WHEN MFIN.MFIN_ASSET_ORDER = 11 THEN '+08840' -- MAP /n WHEN MFIN.MFIN_ASSET_ORDER = 12 THEN '+08841' -- MAP /n WHEN MFIN.MFIN_ASSET_ORDER = 13 THEN '+08842' -- GIC /n WHEN MFIN.MFIN_ASSET_ORDER = 14 THEN '+12553' -- COMFORT /n WHEN MFIN.MFIN_ASSET_ORDER = 15 THEN '+12554' -- ADVANTAGE /n WHEN MFIN.MFIN_ASSET_ORDER = 16 THEN '+12559' -- CORPORATE /n ELSE '-00004' -- Invalid /n END ELSE '-00001' -- Not Applicable /n END ELSE '-00001' -- Not Applicable /n END AS mu_fund_FAMILY_CD FROM ossbr_2_1 mas LEFT JOIN GLSXREF ref ON mas.SRSECCODE = ref.sm_SECURITY_CODE LEFT JOIN MFIN edx ON SUBSTRING (ref.SEND_CD, 4, 5) = MFIN.MFIN_SEND_NUMBER"
